Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C23, C24, C29",0603,5,4.7uf,
"C10, C11, C21, C22, C27_2, C28_2, C29_2, C30, C31_2, C31, C32_2, C33_2, C33, C34_2, C34, C35_2, C35, C36_2, C36, C37_2, C37, C42, C6",0603,23,100nf,
"C12, C19, C2, C3, C4, C9",0603,6,1uf,
C13,0603,1,22pf,
"C14, C17, C25, C26, C27, C30_2, C5, C7, C8",0805,9,10uf,
C16,0805,1,100nF,
C18,0603,1,100pF,
C20,0603,1,470pF,
"C28, C32",0603,2,2.2uf,
"C38, C41",0603,2,8.2pF,
"C39, C40",0603,2,3.3pF,
D1,D_SOD-323,1,LESD3Z5.0T1G,
D2,0603,1,LED,
D3,D_SOD-323,1,LESD5Z3.3T1G,
D4,DFN1610-2_L1.6-W1.0-P1.05-RD,1,ESDA25P35-1U1M,
D5,D_SOD-323F,1,BAT54J,
J1,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J3, J4",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
"L1, L2, L4, L5",0805,4,1.5uH,
L3,IND-SMD_L2.5-W2.0_SWPA252012S,1,2.2uH,
L6,UFQFN-6_L1.7-W1.5,1,ECMF02-2AMX6,
L7,0805,1,2.2uH,C341781
Q1,SOT-23,1,~,
Q2,PDFN-8_L3.1-W3.0-P0.65-LS3.3-BL,1,~,
"R1, R2, R3, R4",0603,4,4.7k,
R10,0603,1,5.1k,
"R11, R13, R15, R19, R20, R5",0603,6,10k,
R12,0603,1,22R,
R14,0603,1,100k,
R16,0603,1,2.4k,
R17,0603,1,110k,
R18,0603,1,200k,
R21,0603,1,33R,
"R6, R7",0603,2,27R,
R8,0603,1,680k,
R9,0603,1,150k,
"SCL1, SDA1, TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,20,TestPoint,
SW1,KEY-SMD_KSS-2G,1,~,
U1,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,XC6206P152MR,
U10,LQFP-144_20x20mm_P0.5mm,1,STM32U5G9ZJTxQ,
U11,FPC-SMD_24P-P0.50_SHOU-HAN_CTSJ-H2.0,1,~,
"U2, U4",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,2,XC6206P282MR,
U3,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,SY8088AAC,
U5,DFN-6_L3.0-W3.0-P0.95-BL-EP-1,1,~,
U6,FPC-SMD_8P-P0.50_AFC24-S08FCA-00,1,~,
U7,USB-TYPE-C-SMD_C9900008089,1,~,
U8,QFN-12_L3.0-W3.0-P0.50-BL-EP1.5,1,~,
U9,SOP-16_3.9x9.9mm_P1.27mm,1,MX66LM1G45G,
X1,OSC-SMD_2P-L3.2-W1.5,1,32.768kHz,
X2,CRYSTAL-SMD_4P-L3.2-W2.5-BL-1,1,16MHz,
