Designator,Mid X,Mid Y,Rotation,Layer
C1,91.4,-67.2,0.0,top
C10,95.9975,-85.2625,270.0,top
C11,97.8975,-83.0625,90.0,top
C12,99.7975,-88.8125,270.0,top
C13,88.4,-69.925,90.0,top
C14,101.4,-70.1,90.0,top
C15,109.1,-69.4,0.0,top
C16,105.795,-65.6,180.0,top
C17,142.4,-54.2,90.0,top
C18,96.902,-52.6945,180.0,top
C19,97.177,-50.8945,180.0,top
C2,87.6975,-89.0125,270.0,top
C20,100.377,-50.8945,0.0,top
C21,103.777,-53.3945,270.0,top
C22,98.527,-61.499,270.0,top
C23,117.9,-54.39,0.0,bottom
C24,117.9,-56.9,0.0,bottom
C25,113.67,-54.64,0.0,bottom
C26,113.67,-57.65,0.0,bottom
C27_2,123.1,-76.0,135.0,bottom
C27,135.3,-67.55,270.0,bottom
C28_2,133.2,-66.9,270.0,bottom
C28,127.8,-88.7,315.0,top
C29_2,138.2,-75.4,270.0,bottom
C29,122.2,-84.1,45.0,bottom
C3,89.5975,-81.2625,270.0,top
C30_2,136.1,-63.2,135.0,bottom
C30,126.2,-77.2,90.0,bottom
C31_2,128.6,-71.075,90.0,bottom
C31,140.051992,-83.648008,135.0,bottom
C32_2,139.9,-73.9,90.0,bottom
C32,136.0,-59.9,135.0,top
C33_2,140.7,-70.6,270.0,bottom
C33,121.0,-85.3,45.0,bottom
C34_2,131.1,-68.6,270.0,bottom
C34,137.4,-64.7,135.0,bottom
C35_2,126.2,-73.8,90.0,bottom
C35,139.5,-85.0,315.0,top
C36_2,131.4,-81.0,90.0,bottom
C36,119.8,-86.5,45.0,bottom
C37_2,133.2,-80.975,270.0,bottom
C37,141.148008,-83.3,315.0,top
C38,147.3,-84.2,45.0,top
C39,139.0,-91.7,45.0,top
C4,87.6975,-85.2625,270.0,top
C40,141.4,-89.3,225.0,top
C41,147.6,-79.5,135.0,top
C42,114.1,-85.0,90.0,top
C5,93.8975,-88.7625,270.0,top
C6,96.0975,-88.7125,270.0,top
C7,93.8975,-85.1625,270.0,top
C8,99.9975,-82.9625,90.0,top
C9,97.9975,-88.7125,270.0,top
D1,91.4,-65.1,0.0,top
D2,97.4,-67.0,0.0,top
D3,99.1,-70.1,90.0,top
D4,93.827,-53.199,180.0,top
D5,95.827,-60.699,0.0,top
J1,119.3,-90.8,90.0,top
J2,147.5,-58.3,180.0,top
J3,107.2,-55.695,0.0,top
J4,146.478015,-67.878015,225.0,top
L1,87.6975,-81.1625,90.0,top
L2,96.0975,-81.3625,270.0,top
L3,96.1,-69.9505,270.0,top
L4,98.7975,-86.0625,0.0,top
L5,102.3975,-88.6625,270.0,top
L6,94.4695,-56.699,180.0,top
L7,138.9,-61.5,45.0,top
Q1,132.9,-55.9,270.0,top
Q2,100.677,-53.499,90.0,top
R1,110.1,-77.6,270.0,top
R10,100.7,-67.0,180.0,top
R11,109.1,-67.7,0.0,top
R12,135.8,-55.5,90.0,top
R13,130.0,-56.1,270.0,top
R14,142.2,-57.6,90.0,top
R15,95.827,-58.899,0.0,top
R16,99.027,-58.899,0.0,top
R17,103.577,-50.8945,0.0,top
R18,106.827,-50.899,0.0,top
R19,110.7,-58.7,315.0,top
R2,108.4,-77.6,270.0,top
R20,125.1,-87.1,225.0,top
R21,118.1,-67.1,315.0,top
R3,139.3,-55.2,180.0,top
R4,139.3,-57.0,180.0,top
R5,109.2,-81.6,0.0,top
R6,121.983363,-55.883363,135.0,top
R7,114.9,-62.4,135.0,top
R8,86.4,-69.925,90.0,top
R9,87.3,-67.1,0.0,top
SW1,107.3,-90.2,180.0,top
U1,92.4975,-81.2625,180.0,top
U10,131.2,-73.6,45.0,top
U11,109.55,-75.8,90.0,bottom
U2,90.6975,-88.8125,180.0,top
U3,91.5,-69.9,180.0,top
U4,90.6975,-85.1625,180.0,top
U5,105.8,-69.2,90.0,top
U6,137.876,-56.55,270.0,bottom
U7,88.745,-57.399,270.0,top
U8,101.827,-60.7915,180.0,top
U9,115.3,-56.1,315.0,top
X1,138.7,-88.7,45.0,top
X2,145.1,-82.02052,45.0,top
